régionCNC;N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2022;entrées 2021;évolution entrées;tranche d'entrées;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
1;9452;LE LOUXOR;ILE-DE-FRANCE;170 BOULEVARD DE MAGENTA;75110;Paris 10e Arrondissement;83873.0;75;00851;Paris;10949158.0;01-Paris;3.0;556.0;53.0;6115.0;195136.0;109882.0;77.5868659107042;De 150 à 200 000 entrées;;OUI;A;RDJPPR;FIXE;NON;C;302.0;96.0;61.0;63.299067974811344;10.82844824220384;9.427342752123689;16.445141030861134;237.0;91.27042116829442;48.883487;2.349853;48.883487, 2.349853
1;9802;CLUB DE L ETOILE;ILE-DE-FRANCE;14 RUE TROYON;75117;Paris 17e Arrondissement;167765.0;75;00851;Paris;10949158.0;01-Paris;1.0;161.0;37.0;103.0;6346.0;3022.0;109.99338186631368;De 5 à 10 000 entrées;;NON;NON;;FIXE;NON;C;59.0;15.0;1.0;34.84908657664813;40.52819698173153;13.204924543288325;11.417791898332009;25.0;45.4130262112788;48.876113;2.295345;48.876113, 2.295345
1;9920;PATHE;ILE-DE-FRANCE;30 AVENUE CORENTIN CARIOU;75119;Paris 19e Arrondissement;184156.0;75;00851;Paris;10949158.0;01-Paris;16.0;2901.0;53.0;24999.0;400696.0;282502.0;41.83828787052835;De 300 à 450 000 entrées;PATHE-GAUMONT;NON;NON;;FIXE;OUI;C;339.0;231.0;180.0;14.354510467670112;64.36030345161096;13.30320981684096;7.981976263877974;96.0;4.268925426665861;48.897016;2.385181;48.897016, 2.385181
2;20931;LE SELECT;ILE-DE-FRANCE;10 AV DIVISION LECLERC;92002;Antony;63639.0;92;00851;Paris;10949158.0;02-Petite Couronne;4.0;665.0;49.0;6035.0;164014.0;103115.0;59.05930272026379;De 150 à 200 000 entrées;;OUI;C;RDJPPR;FIXE;NON;B;432.0;322.0;190.0;67.67330789520858;13.093805219083714;11.926681861251248;7.306205024456452;319.0;59.73264360162872;48.753029;2.304782;48.753029, 2.304782
2;23301;JEAN GABIN;ILE-DE-FRANCE;12-14 BOULEVARD LEON FEIX;95018;Argenteuil;109058.0;95;00851;Paris;10949158.0;03-Grande couronne;1.0;128.0;48.0;795.0;8196.0;4030.0;103.37468982630273;De 5 à 10 000 entrées;;OUI;C;RDJP;FIXE;NON;B;145.0;101.0;2.0;56.42372881355933;19.76271186440678;13.16949152542373;10.64406779661017;109.0;66.93220338983052;48.946909;2.249331;48.946909, 2.249331
2;30184;UGC CINE CITE O'PARINOR;ILE-DE-FRANCE;LE HAUT DE GALY;93005;Aulnay-sous-Bois;86873.0;93;00851;Paris;10949158.0;02-Petite Couronne;14.0;2590.0;53.0;25668.0;499614.0;312659.0;59.795176214342135;De 450 à 700 000 entrées;UGC;NON;NON;;FIXE;OUI;B;289.0;160.0;159.0;21.410224326569836;62.79302095116067;11.319833031361675;4.476921690907817;80.0;1.5549705202254276;48.960325;2.473606;48.960325, 2.473606
2;45132;BEAUMONT PALACE;ILE-DE-FRANCE;6 AV ANATOLE FRANCE;95052;Beaumont-sur-Oise;9671.0;95;00459;Persan - Beaumont-sur-Oise;39344.0;03-Grande couronne;1.0;353.0;50.0;1029.0;19019.0;11229.0;69.37394247038917;De 10 à 20 000 entrées;;OUI;D;JPPR;FIXE;NON;C;265.0;197.0;2.0;67.68092634287552;12.029591508523641;8.086201350916694;12.203280797684144;150.0;68.69089739466067;49.141412;2.283076;49.141412, 2.283076
2;71901;LE RENAISSANCE;ILE-DE-FRANCE;16 RUE DE L EGLISE;77051;Bray-sur-Seine;2355.0;77;77116;Bray-sur-Seine;3391.0;03-Grande couronne;1.0;105.0;53.0;349.0;5343.0;2511.0;112.7837514934289;De 5 à 10 000 entrées;;OUI;E;;FIXE;NON;C;171.0;132.0;2.0;52.03879215340533;26.73572845492616;16.530747189772978;4.694732201895525;91.0;41.0844170156491;48.415251;3.237856;48.415251, 3.237856
2;91492;CINEMA DU THEATRE;ILE-DE-FRANCE;8 AVENUE CHARLES DE GAULLE;78126;La Celle-Saint-Cloud;20889.0;78;00851;Paris;10949158.0;03-Grande couronne;1.0;319.0;44.0;253.0;10344.0;4456.0;132.13644524236986;De 10 à 20 000 entrées;;NON;NON;;FIXE;NON;B;191.0;140.0;1.0;57.02462238775088;13.469894475481068;25.656941858059177;3.8485412787088764;112.0;66.35630043451273;48.847416;2.136047;48.847416, 2.136047
2;114042;MY CINE;ILE-DE-FRANCE;SHOPPING PROMENADE 3 RUE ROBERT SCHUMAN;77118;Claye-Souilly;12435.0;77;77302;Claye-Souilly;12435.0;03-Grande couronne;3.0;387.0;53.0;3687.0;128450.0;63696.0;101.66101482039687;De 100 à 150 000 entrées;;NON;NON;;FIXE;NON;I;90.0;78.0;50.0;21.210280373831775;63.955607476635514;12.023364485981308;2.810747663551402;11.0;0.35046728971962615;48.947319;2.673824;48.947319, 2.673824
